"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"ADLFI. Archeologie de la France - Informations","archeo/anthropo","OpenEdition","Non-profit","diamond_OA","French Ministry of Culture & CNRS","Uni/Gov","https://journals.openedition.org/adlfi/","0","","none"
"Advances in Archaeological Practice","archeo/anthropo","Cambridge University Press","University Press","hybrid","Society for American Archaeology","Society","https://www.cambridge.org/core/journals/advances-in-archaeological-practice","3064","","none"
"Agriculture and Human Values","archeo/anthropo","Springer","For-profit","hybrid","Agriculture, Food and Human Values Society","Society","https://link.springer.com/journal/10460","2890","1.035","none"
"American Antiquity","archeo/anthropo","Cambridge University Press","University Press","hybrid","Society for American Archaeology","Society","https://www.cambridge.org/core/journals/american-antiquity","3064","1.278","none"
"American Historical Review","archeo/anthropo","Oxford Academic","University Press","hybrid","American Historical Association","Society","https://academic.oup.com/ahr","4400","0.547","none"
"American Journal of Archaeology","archeo/anthropo","University of Chicago Press","University Press","subscription","Archaeological Institute of America","Society","https://www.ajaonline.org/","0","0.469","none"
"American Journal of Biological Anthropology","archeo/anthropo","Wiley","For-profit","hybrid","American Association of Biological Anthropologists","Society","https://onlinelibrary.wiley.com/journal/26927691","4020","1.084","none"
"American Journal of Human Biology","archeo/anthropo","Wiley","For-profit","hybrid","Human Biology Association","Society","https://onlinelibrary.wiley.com/journal/15206300","3450","","none"
"Anatolian Studies","archeo/anthropo","Cambridge University Press","University Press","hybrid","British Institute at Ankara","Society","https://www.cambridge.org/core/journals/anatolian-studies","3000","","none"
"Anatolica","archeo/anthropo","Peeters Online Journals","For-profit","subscription","Netherlands Institute for the Near East","other","https://poj.peeters-leuven.be/content.php?url=journal&journal_code=ANA","0","","none"
"Ancient Society","archeo/anthropo","Peeters Online Journals","For-profit","subscription","Ancient History section of the Katholieke Universiteit Leuven","Uni/Gov","https://poj.peeters-leuven.be/content.php?url=journal&journal_code=AS","0","","none"
"Annual of the British School at Athens","archeo/anthropo","Cambridge University Press","University Press","hybrid","British School at Athens","Uni/Gov","https://www.cambridge.org/core/journals/annual-of-the-british-school-at-athens","3000","","none"
"Anthropologica et Praehistorica","archeo/anthropo","Societe Royale Belge d'Anthropologie et de Prehistoire","Non-profit","diamond_OA","Societe Royale Belge d'Anthropologie et de PRehistoire","Society","https://biblio.naturalsciences.be/associated_publications/anthropologica-prehistorica","","",""
"Anthropozoologica","archeo/anthropo","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/anthropozoologica","0","","PCI friendly"
"Antipoda. Revista de Antropologia y Arqueologia","archeo/anthropo","Universidad de los Andes","Non-profit","diamond_OA","School of Social Sciences of the Universidad de los Andes","Uni/Gov","https://revistas.uniandes.edu.co/index.php/antipoda","0","","none"
"Antiquity","archeo/anthropo","Cambridge University Press","University Press","hybrid","Antiquity Trust","Non-profit","https://antiquity.ac.uk/","3255","1.035","none"
"Archaeofauna","archeo/anthropo","Universidad Autonoma de Madrid Editions","University Press","diamond_OA","Asociacion Espanola de Arqueozoologia","Society","https://revistas.uam.es/archaeofauna","0","","none"
"Archaeology Ethnology and Anthropology of Eurasia","archeo/anthropo","Russian Academy of Sciences","Non-profit","subscription","Russian Academy of Sciences","Uni/Gov","https://journal.archaeology.nsc.ru/jour","0","","none"
"Archaeometry","archeo/anthropo","Wiley","For-profit","hybrid","University of Oxford","Uni/Gov","https://onlinelibrary.wiley.com/journal/14754754","2620","","none"
"Archaologische Informationen","archeo/anthropo","Heidelberg University","Non-profit","diamond_OA","Heidelberg University","Uni/Gov","https://journals.ub.uni-heidelberg.de/index.php/arch-inf/index","0","","PCI friendly"
"Archeologia e Calcolatori","archeo/anthropo","Edizioni All'Insegna del Giglio","Non-profit","diamond_OA","Italian National Research Council (CNR) + Dipartimento di Archeologia e Storia delle Arti of the University of Siena","Uni/Gov","http://www.archcalc.cnr.it/","0","","none"
"Archeological Journal","archeo/anthropo","Routledge","For-profit","hybrid","Royal Archaeological Institute","Society","https://www.tandfonline.com/RAIJ","2895","","none"
"Archeologicke Rozhledy","archeo/anthropo","Institute of Archaeology of the Czech Academy of Sciences","Non-profit","diamond_OA","Institute of Archaeology of the Czech Academy of Sciences","Uni/Gov","https://archeologickerozhledy.cz/","0","","none"
"ArcheoScience - Revue d'archeometrie","archeo/anthropo","Presses universitaires de Rennes","University Press","diamond_OA","Groupe des Methodes Pluridisciplinaires Contribuant à l'Archeologie","Society","https://journals.openedition.org/archeosciences/","0","","none"
"Architectural Histories","archeo/anthropo","Open Library of Humanities","Non-profit","diamond_OA","European Architectural History Network","Society","https://journal.eahn.org/","0","","none"
"Archivo Espanol de Arqueologia","archeo/anthropo","CSIC","Non-profit","diamond_OA","Instituto de Historia del CCHS","Uni/Gov","https://aespa.revistas.csic.es/","0","","none"
"Arqueologia","archeo/anthropo","Instituto de Arqueologia /  Facultad de Filosofia y Letras /  Universidad de Buenos Aires","Non-profit","diamond_OA","Universidad de Buenos Aires. Facultad de Filosofia y Letras. Instituto de Arqueologia","Uni/Gov","http://revistascientificas.filo.uba.ar/index.php/Arqueologia","0","","PCI friendly"
"Asian Perspectives","archeo/anthropo","University of Hawai'i Press","University Press","subscription","University of Hawaii","Uni/Gov","https://uhpress.hawaii.edu/title/ap/","0","","none"
"Australian Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","Australian Archaeological Association","Society","https://www.tandfonline.com/RAAA","2895","","none"
"BEADS: Journal of the Society of Bead Researchers","archeo/anthropo","The Society of Bead Researchers","Non-profit","subscription","The Society of Bead Researchers","Society","http://beadresearchjournal.org/","0","","none"
"Boletin del Museo Chileno de Arte Precolombino","archeo/anthropo","Universidad Adolfo Ibanez","Non-profit","diamond_OA","Universidad Adolfo Ibáñez","Uni/Gov","https://boletinmuseoprecolombino.cl/","0","","none"
"Bulletin d’Archeologie Marocaine","archeo/anthropo","Institut National des Sciences de l'Archeologie et du Patrimoine","Non-profit","diamond_OA","Institut National des Sciences de l'Archeologie et du Patrimoine","Uni/Gov","https://revues.imist.ma/index.php/bam","0","","none"
"Bulletin de la Societe Prehistorique Francaise","archeo/anthropo","Societe Prehistorique de France","Non-profit","subscription","Societe Prehistorique Francaise","Society","http://www.prehistoire.org/515_p_46628/le-bulletin-de-la-spf.html","","0.13","none"
"Bulletin du Musee d'Anthropologie prehistorique de Monaco","archeo/anthropo","Musee d'Anthropologie prehistorique de Monaco","Non-profit","subscription","Musee d'Anthropologie prehistorique de Monaco","Museum","https://map-mc.org/bulletin/","0","","none"
"Bulletin of ASOR","archeo/anthropo","The American Society of Overseas Research","Non-profit","subscription","The American Society of Overseas Research","Society","https://www.asor.org/asor-publications/basor/","0","","none"
"Bulletins et memoires de la Societe d’Anthropologie de Paris","archeo/anthropo","OpenEdition","Non-profit","diamond_OA","Societe d'Anthropologie de Paris","Society","https://journals.openedition.org/bmsap/","0","","PCI friendly"
"California Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","Society for California Archaeology","Society","https://www.tandfonline.com/YCAL","2895","","none"
"Cambridge Archaeological Journal","archeo/anthropo","Cambridge University Press","University Press","hybrid","McDonald Institute for Archaeological Research","Uni/Gov","https://www.cambridge.org/core/journals/cambridge-archaeological-journal","3000","","none"
"Comechingonia  Revista de Arqueologia","archeo/anthropo","National University of Cordoba","Non-profit","diamond_OA","Centro de Estudios Historicos","Uni/Gov","https://revistas.unc.edu.ar/index.php/comechingonia","0","","none"
"Complutum","archeo/anthropo","Universidad Complutense","Non-profit","diamond_OA","Universidad Complutense","Uni/Gov","https://revistas.ucm.es/index.php/CMPL","0","","none"
"Current Anthropology","archeo/anthropo","University of Chicago Press","University Press","hybrid","Wenner-Gren Foundation","Non-profit","https://www.journals.uchicago.edu/toc/ca/current","1500","","none"
"Current Swedish Archaeology","archeo/anthropo","Swedish Archaeological Society","Non-profit","diamond_OA","Swedish Archaeological Society","Society","https://publicera.kb.se/csa/index","0","","none"
"Documenta Praehistorica","archeo/anthropo","University of Ljubljana Press","University Press","diamond_OA","Scientific Research Institute of the Faculty Of Arts","Uni/Gov","https://journals.uni-lj.si/DocumentaPraehistorica/index","0","","none"
"Environmental Archaeology","archeo/anthropo","Routledge","For-profit","hybrid","Association for Environmental Archaeology","Society","https://www.tandfonline.com/YENV","2710","","none"
"Estonian Journal of Archaeology","archeo/anthropo","Estonian Academy Publishers","Non-profit","OA","Institute of History and Archaeology at the University of Tartu and Archaeological Research Collection of Tallinn University","Uni/Gov","https://kirj.ee/archaeology/","250","","none"
"Estudos do Quaternario","archeo/anthropo","Associacao Portuguesa para o Estudo do Quaternario","Non-profit","subscription","Associacao Portuguesa para o Estudo do Quaternario","Society","http://www.apeq.pt/ojs/index.php/apeq","","0.28","none"
"European Journal of Archaeology","archeo/anthropo","Cambridge University Press","University Press","hybrid","European Association of Archaeologists","Society","https://www.cambridge.org/core/journals/european-journal-of-archaeology","2100","0.841","none"
"Eventum - A journal of Medieval Arts and Rituals","archeo/anthropo","Milano Univerity Press","University Press","diamond_OA","University of Cyprus","Uni/Gov","https://riviste.unimi.it/index.php/eventum/index","0","","none"
"Evolution and Human Behavior","archeo/anthropo","Elsevier","For-profit","hybrid","Human Behavior and Evolution Society","Society","https://www.journals.elsevier.com/evolution-and-human-behavior","3430","1.676","none"
"Evolutionary Human Sciences","archeo/anthropo","Cambridge University Press","University Press","OA","European Human Behaviour and Evolution Association","Society","https://www.cambridge.org/core/journals/evolutionary-human-sciences","2986","1.039","none"
"EXARC Journal","archeo/anthropo","EXARC","Non-profit","diamond_OA","EXARC","Society","https://exarc.net/journal","0","","PCI friendly"
